44809740,10
63300043,8
65006193,5
82075000,12
10051172,6
30276921,7
80220221,4
95255414,3
12440987,2
92360054,8
53554993,8
84455604,1
69676310,8
68740301,3
86126299,11
40060222,5
61050005,11
60441099,10
47361157,11
75995439,10
97828578,9
18735742,9
20297377,5
72302542,7
93608438,6
74272776,6
15651570,11
31536409,12
15445172,1
49959738,3
99425854,4
60007169,9
72693892,8
85254599,3
91448579,6
29615039,5
99643781,8
24344179,7
52582441,11
63516324,8
45905148,12
74455377,4
14703285,6
86350964,11
20914686,10
85922092,5
52222743,2
24563895,12
35149931,9
90740024,6
35846943,4
68742723,11
56868161,2
91411660,8
62351415,7
97288908,11
18715800,4
85552934,11
93176240,6
39085066,12
28988603,2
76645695,11
87910401,12
96121734,9
36258353,6
76756285,6
46808715,4
11855189,2
78408833,9
55090687,11
18125495,6
89216181,5
63846278,4
44057877,6
50131023,3
56549905,4
78852780,7
94242300,11
89523619,8
74560138,9
80864898,3
69231632,12
77148593,8
52777157,7
75868241,8
99588949,5
15739862,9
45713344,6
26638798,4
44976308,2
40583204,6
52680577,7
21696872,4
59623204,7
49527148,4
29492221,2
36263000,8
65309661,2
29133444,8
59060625,7
